Subject Line A;Subject Line B;Target
Get ready to sweat with our new Zumba class on...;Get Ready to Sweat with Our New Zumba Class;B
Our monthly meditation session will take place this Thursday at...;This Thursday at the library from 6:30-8 PM.;A
The local park is hosting a free outdoor movie night...;Free Outdoor Movie Night in Local Park;A
Lost: A small drone with blue markings, last seen near...;Lost: A small drone with blue markings near Oakwood Park;B
The community center is hosting a free yoga class for...;This Thursday at 10 am: Free Yoga Class for Seniors;B
Local artist Emma Taylor's latest exhibit opens tonight at the...;Tonight at the town hall gallery from 6-8 pm.;A
The school's annual book fair is happening next week during...;Get Your Kids Excited About Reading with a New Favorite...;A
Attention, car enthusiasts! The classic car show returns this Saturday...;Attention, car enthusiasts!;A
Pet grooming services available now at Pet Paradise on Main...;Pet Grooming Services Available Now;B
Reminder: The deadline to pay your property taxes without penalty...;The Deadline to Pay Your Property Taxes Without Penalty is...;A
"Join us for our annual ""Taste of the Town"" food...";"""Taste of the Town"" food festival this weekend!";B
Lost: A set of silver-rimmed reading glasses, possibly left on...;Lost: A set of silver-rimmed reading glasses, possibly left on...;A
The community center is looking for volunteer drivers to help...;Volunteer Drivers Needed for Weekly Grocery Shopping Trips;B
Free yoga workshop this weekend at the park! All levels...;Free yoga workshop this weekend at the park!;A
Wanted: a set of golf clubs with a distinctive red...;Wanted: Golf Clubs with Red Head Cover;B
Community Clean-Up Day: Join us this Saturday morning as we...;Join us this Saturday morning as we tidy up our...;A
Free Yoga Session: Get flexible with our free yoga session...;Get Flexible with Our Free Yoga Session;A
Lost Pet Alert: A golden retriever named Max has gone...;LOST PET ALERT: A golden retriever named Max has gone...;A
Art Class for Kids: Let your little ones unleash their...;Art Class for Kids;A
Reminder: The annual Fall Festival will take place this Saturday...;The annual Fall Festival will take place this Saturday at...;B
Road Closure Alert: Oak Street will be closed for roadwork...;ROAD CLOSURE ALERT: Oak Street Closure;A
Free Yoga Session This Sunday! Join us at the community...;Free Yoga Session This Sunday;A
Book Club Meeting Rescheduled The book club meeting previously scheduled...;Book Club Meeting Rescheduled;B
Community Clean-Up Day Join us on Saturday morning at 9:00...;Join us on Saturday morning at 9:00 AM as we...;A
Book Lover's Club meets this Wednesday at the library to...;The Great Gatsby;A
The local theater group seeks vintage 1920s-style costumes for their...;Vintage 1920s-style costumes sought for local theater play;B
This weekend, join us at the farmer's market at the...;This Weekend's Farmer's Market at the Town Square;B
"The technology club is enrolling for a workshop on ""Smart...";Smart Home Basics;A
Our community library launches its new reading challenge starting next...;Dive into your favorite books;B
Join us at the weekly farmer's market this Saturday at...;Join us at the weekly farmer's market this Saturday at...;B
Community clean-up event this Saturday at 9 AM! Let's work...;Community Clean-up Event This Saturday at 9 AM!;A
Local art studio hosting free painting class for beginners! All...;Local Art Studio Hosting Free Painting Class for Beginners;B
Attention all book lovers: The library is hosting a used...;Attention all book lovers: The library is hosting a used...;A
Reminder to all residents: Don't forget that the annual town...;Annual Town Fair is Next Saturday;B
Found: A lost cat in the neighborhood! If you're missing...;Found: A lost cat in the neighborhood!;A
The local art studio is offering a free painting class...;Free Painting Class Next Wednesday Evening;A
Reminder to all dog owners: Please keep those leashes short!...;Please keep those leashes short!;B
The community garden is looking for volunteers to help with...;Next Sunday: Spring Planting Event;B
Lost: A small, black dog with a distinctive white patch...;Lost: Small, black dog with distinctive white patch on its...;A
"Book Club: Join us for a discussion on ""The Alchemist""...";"Join us for a discussion on ""The Alchemist""";B
The local library is hosting a book club for adults...;The local library is hosting a book club for adults...;B
The local library is hosting a book club for adults...;Dune by Frank Herbert;B
The annual Holiday Parade will take place on December 15th...;Annual Holiday Parade on December 15th at 2 PM;B
Community event: Join us for a free outdoor concert this...;Join us for a free outdoor concert this Saturday at...;B
The local animal shelter is in need of donations to...;The local animal shelter is in need of donations.;A
Reminder: The city's annual clean-up event will take place this...;The City's Annual Clean-up Event;A
For sale: Gently used baby gear (stroller, car seat, etc.)...;For Sale: Gently Used Baby Gear;A
Job opening: The local coffee shop is hiring part-time baristas!...;Job Opening;B
The town's annual SummerFest celebration is just around the corner!...;SummerFest Celebration - July 15th;B
Free Language Exchange: Practice conversing in a new language and...;Free Language Exchange;A
Reminder: The library's summer reading program ends next week, so...;The library's summer reading program ends next week;A
A reminder that the annual community picnic is this Saturday...;Annual Community Picnic This Saturday;B
Missing bicycle: Silver Schwinn, distinctive handlebars. Last seen near Oak...;Silver Schwinn, distinctive handlebars.;A
The local animal shelter needs donations of pet food, toys,...;The local animal shelter needs donations.;B
Volunteers are needed for the town's annual Halloween party next...;Volunteers Needed for Town's Annual Halloween Party;B
For Sale: Gently used bicycle with all original parts, perfect...;Gently Used Bicycle for Sale;A
Join us for a fun-filled evening of games and prizes...;Fun-filled evening of games and prizes at our annual community...;B
Calling all bookworms! The library is hosting a used bookstore...;Used Bookstore Sale This Saturday;B
Wanted: A reliable lawn mower for rent or purchase. Must...;Wanted: Reliable Lawn Mower;A
Free kittens! Our neighbors are rehoming two adorable little furballs...;FREE Kittens!;A
Garage sale alert! The Smiths will be hosting a massive...;Garage Sale Alert!;A
Attention all musicians: Join us for an open mic night...;Attention all musicians;B
The local animal shelter is hosting a bake sale this...;All proceeds will go towards making a difference in our...;B
Free community concert: The local music school is hosting a...;Free Community Concert Next Saturday;A
The local library is hosting a book drive for children's...;The Local Library Hosts Book Drive;B
Calling all bookworms! Our local library is hosting a used...;Used Bookstore Sale This Weekend!;B
Local Library Book Sale: This Saturday from 10 AM to...;This Saturday from 10 AM to 2 PM;B
Book Club: Join us for a discussion on our latest...;"""The Great Gatsby""";A
Garage Sale Alert: Neighborhood garage sale event this Saturday from...;Garage Sale Alert: Neighborhood garage sale event this Saturday from...;A
The local park is hosting a free outdoor concert this...;FREE Outdoor Concert This Friday at Sunset!;A
Calling all artists! The city's annual art festival is coming...;Calling all artists! The city's annual art festival is coming...;B
The local library is hosting a book drive to benefit...;The local library is hosting a book drive.;B
Don't forget to set your clocks forward by an hour...;Don't Forget To Set Your Clocks Forward This Weekend;B
Found: A small stuffed rabbit was left on a bench...;Found: A small stuffed rabbit with pink ears and bow...;A
The annual community picnic is happening this Sunday from 2...;The annual community picnic is happening this Sunday from 2...;B
The local animal shelter is hosting a pet adoption fair...;Pet Adoption Fair Next Weekend;B
Attention all book lovers! The library is hosting a used...;Used Bookstore Sale Next Weekend;A
The annual town fair is coming up on October 15th!...;The annual town fair is coming up on October 15th!...;A
The annual SummerFest celebration is just around the corner! Join...;The annual SummerFest celebration is just around the corner!;B
Calling all book lovers! Our local library is hosting a...;Used Bookstore Sale - Help Needed;A
The annual holiday market is just around the corner! Join...;The Annual Holiday Market;A
Community Event: Join us for a fun-filled evening of music,...;Join us for a fun-filled evening of music, food, and...;B
Book club meeting this Thursday at 7 PM at the...;The Nightingale;A
Calling all gardeners! Join us for a free workshop on...;Free Workshop on Composting and Organic Gardening Techniques;A
