Posts;Subject Line A;Subject Line B;Target
Local artist showcase at the Art Center this Friday. Come enjoy beautiful creations and live music from 6 PM to 9 PM.;Local Artist Showcase at the Art Center this Friday;Local artist showcase at the Art Center this Friday. Come...;A
Karaoke night at the Oak Tree Tavern this Thursday night! Come sing your heart out with friends or just enjoy the show. Starts at 7 PM.;Karaoke night at the Oak Tree Tavern!;Karaoke night at the Oak Tree Tavern this Thursday night!...;A
Free cooking class at the public kitchen this Monday. Learn to make quick and healthy dinners. Limited spaces, register early!;Free cooking class this Monday!;Free cooking class at the public kitchen this Monday. Learn...;A
Garage Sale Tips Workshop at the Community Hall this Tuesday at 7 PM. Learn how to price items, set up your space, and more for a successful sale.;Garage Sale Tips Workshop at the Community Hall;Garage Sale Tips Workshop at the Community Hall this Tuesday...;B
Need help with fall leaf removal? Contact Jake at 555-2341. He's offering affordable rates for your gardens and driveways cleaning services.;Need Help with Fall Leaf Removal?;Need help with fall leaf removal? Contact Jake at 555-2341....;A
Join the Historic Walk through old town this Saturday morning. Learn about our town's fascinating history while getting some exercise.;Historic Walk through Old Town this Saturday morning.;Join the Historic Walk through old town this Saturday morning....;A
Puppy Training Sessions start next week at the Animal Welfare Society. Bring your new pup and learn basic commands in a friendly environment.;Puppy Training Sessions Start Next Week;Puppy Training Sessions start next week at the Animal Welfare...;B
Local theater group holding auditions for 'Romeo and Juliet'. Experienced or new actors welcome. Auditions are next Monday and Tuesday evening.;Local Theater Auditions for 'Romeo and Juliet';Local theater group holding auditions for 'Romeo and Juliet'. Experienced...;B
Anyone know of a good piano tuner in the area? My piano has been sounding a bit off lately, and I'd like to get it fixed by someone trustworthy.;Anyone Know of a Good Piano Tuner in the Area?;Anyone know of a good piano tuner in the area?...;B
Neighborhood Watch Introduction meeting this Thursday at the town hall at 6 PM. Join us to learn how you can help keep our community safe.;Neighborhood Watch Introduction this Thursday at 6 PM;Neighborhood Watch Introduction meeting this Thursday at the town hall...;B
Annual Pancake Breakfast at the firehouse this weekend. Come enjoy homemade pancakes and support our local firefighters. Serving from 9 AM to noon.;Annual Pancake Breakfast;Annual Pancake Breakfast at the firehouse this weekend. Come enjoy...;B
Lost Keys near Market Street. Set of car and house keys on a red keychain, lost yesterday. If found, please contact at the community center.;Lost Keys near Market Street;Lost Keys near Market Street. Set of car and house...;B
I found a set of keys near the bus stop on Main Street. There's a red keychain with a car logo on it. If they might be yours, please contact me to describe the other keys so I can make sure they get back to you.;I Found a Set of Keys;I found a set of keys near the bus stop...;A
