Subject Line A;Subject Line B
Attend the local veterans' group charity raffle. Help support valuable...;ATTEND THE LOCAL VETERANS' GROUP CHARITY RAFFLE.
Deadline alert! Register by next Saturday for the community soccer...;Register for Soccer League
Help beautify our neighborhood this Saturday! Volunteers needed to pick...;Help Beautify Our Neighborhood
Talent wanted! Our community theater group is holding auditions next...;Bring your acting skills to the local stage
Huge neighborhood garage sale this Sunday at Pine Street. Find...;Huge garage sale this weekend
Donate your old books to support our local schools. Drop-off...;Donate books to support schools
Looking for a furry friend? Visit the animal shelter this...;Looking for a furry friend
Got too many plants? Join the garden club's plant swap...;Get new plants with the garden club's plant swap
Relax and enjoy an evening of jazz music at the...;Free Entry to Community Park this Friday
Looking for work? Visit our part-time job fair next Wednesday...;Local Businesses Hiring
Our community garden has a few plots available for the...;Community garden plots available
Found: A childâ€™s drawing pad with sketches, found on a...;Found: A child's drawing pad
A reading group is forming at the local library for...;Agatha Christie's Classics at the Library
Public safety notice: Please remember to lock your vehicles and...;Uptick in Theft
Looking for recommendations for a reliable babysitter in the area....;Reliable babysitter recommendations sought
Urgent: Our local animal shelter is full! Please consider adopting...;Animal Shelter Full
Weekly movie night at my place! Join us for classic...;Movie night at my place
Join our weekly meal-prep group! Cook bulk meals for the...;Meal-prep group for the week
I craft handmade jewelry and plan to sell at the...;Advice for Vendors
Free health clinic this Saturday at the community center, 9...;Free Health Checks
Pet Adoption Urgency: The shelter is overflowing. Adopt your new...;Pet Adoption Alert
Classic Film Nights: Every week at my house. Bring snacks...;Every week
Meal Prep Fun: Gather each week to cook and chat....;Save time with meal prep
Jewelry Maker Seeking Tips: Setting up a booth at the...;Tips for Farmers' Market
Health Check Opportunities: Free clinic this Saturday, don't miss out...;Health services this Saturday
Adopt a Pet Today: Help reduce the shelter's burden, no...;Help Reduce the Shelter's Burden
Movie Lovers Alert: Hosted weekly at my place. Dive into...;Movie Lovers Alert
Cooking Collective: Weekly session;Cooking Collective weekly
Jewelry Selling at Local Markets: Seeking advice to start;Seeking advice to start
Essential Health Services Free: Blood pressure, flu shots at the...;Blood Pressure and Flu Shots
Pets Need Homes: No fees this month. Add a furry...;Add a furry member to your family
Film Enthusiasts Invited: Weekly classics screening in a prime setup.;Classics screening
Community Cooking: Join us for meal-prepping and tips exchange.;Community Cooking Tips
Local Artisan Advice: Starting a market booth for handmade crafts.;Starting a market booth for handmade crafts
Free Medical Services: This weekend at the community center. Stay...;Free Medical Services This Weekend
Animal Shelter Crisis: Urgent help needed to adopt pets. Fee...;Animal Shelter Crisis: Urgent help needed to adopt pets.
Enjoy Classic Movies: Weekly gatherings at a home theater setup.;Movie Nights
Meal Preparation Together: Save on week's meals and make new...;Save on week's meals
Advice for Craft Market Booths: Looking for experienced insights.;Experienced Insights for Craft Market Booths
Health Screenings Available: Come get your flu shot and more...;This Saturday's Health Screenings
Help Local Shelters: Adopt a pet for free this month....;Adopt a pet for free this month
Gather for Movie Classics: Share the joy of cinema weekly.;Cinema Classics
Weekly Meal Prep Meet-Up: Cook in bulk and share culinary...;Cook in bulk and share culinary secrets
Tips for Market Vendors: Insights on selling handmade jewelry.;Insights on Selling Handmade Jewelry.
Healthcare Services for Free: Don't miss this Saturday's community health...;Free Healthcare Services this Saturday
Notice of power outages: Scheduled electrical maintenance will occur this...;Power outages scheduled
Missing: One small drone, last seen flying near Maple Street...;Drone flying near Maple Street Park
I found a set of keys near the bus stop...;Keys with a red keychain
Iâ€™m offering math tutoring for high school students. If your...;Math Tutoring for High School Students
We've noticed an increase in graffiti and vandalism at the...;Keep our community safe
Join us this Saturday to revitalize the historic Johnson's Field!...;Join us this Saturday to revitalize Johnson's Field
Interested in local history? Volunteer for the libraryâ€™s archive sorting...;Local history sorting event
Reminder! Free pilates sessions every Wednesday at 6 PM in...;Free pilates sessions every Wednesday
Calling all artists! Contribute your skills to the mural project...;Calling all artists
Book lovers unite for the annual book swap event next...;Community Center Book Exchange
Pet adoption day this Sunday at Pet Haven Shelter! Come...;Pet adoption day this Sunday at Pet Haven Shelter!
Gardeners, gear up for the Spring Seed Swap at Green...;Spring Seed Swap
DIY Workshop! Learn how to upcycle furniture this Tuesday at...;DIY Workshop!
Neighborhood watch meeting at the town hall this Monday at...;Meeting at the Town Hall
Fitness fun day in Riverside Park next Sunday! Activities include...;Fitness fun day in Riverside Park next Sunday
Tech help day! Volunteers needed to assist seniors with using...;Volunteers needed to assist seniors with using technology this Friday
Foodies alert! The annual Pie Bake-Off is happening at the...;Taste the Competition
Local theater group is seeking volunteers for their upcoming production's...;Set Design Needed
Join the conversation at the Town Hall this Wednesday at...;Join the community discussion on public transport
Craft Fair next weekend at Oakwood School! Local artisans will...;Local artisans at Oakwood School
Have a green thumb? Help plant new trees at Liberty...;Saturday Tree Planting
Clean Water Project meeting this Thursday at the community office....;Clean Water Project Meeting
Historic walking tour of Old Town every Saturday morning. Discover...;Discover Old Town with experts
Join our monthly book club at the library this Tuesday....;Join Our Monthly Book Club
Run for a cause! Charity 5K run next Wednesday at...;Run for a cause!
Neighborhood cleanup day is around the corner! Meet at Pine...;Refreshments Provided
Chess enthusiasts! Weekly chess nights start this Thursday at the...;Weekly Chess Nights
Get ready for the Kids Talent Show! It's going down...;The Kids Talent Show is coming
