Posts;Subject Line A;Subject Line B
The annual river cleanup is happening this weekend. We're looking for volunteers to help remove trash and debris to keep our river clean and healthy. All supplies will be provided.;The annual river cleanup is happening this weekend;The annual river cleanup is happening this weekend.
I'm trying to find a home for a friendly stray cat I've been feeding. She's very sweet and good with other cats. If you or someone you know might be interested in adopting her, please let me know.; Find a home for a stray cat;Iâ€™m trying to find a home for a friendly stray...
The environmental club is leading a cleanup at Beachy Head this Saturday. Meet at the main parking lot at 10 AM. Supplies and snacks will be provided to volunteers.;Meet at the main parking lot at 10 AM;This Saturday Cleanup at Beachy Head
Heads up! A community garage sale is set for next Sunday at Pine Grove Park. Start time is 8 AM. Come find some treasures or declutter your home!; Find Some Treasures;Heads Up! Community Garage Sale Next Sunday
Experienced babysitter available! I'm certified in CPR and have five years of experience with kids of all ages. Contact me if you need a reliable sitter!; Need a reliable sitter;Experienced babysitter available!
I'm planning a plant exchange next month. Bring your cuttings, seedlings, or potted plants you'd like to swap with fellow gardeners.; Gardeners Unite;Bring Your Cuttings, Seedlings, or Potted Plants
Lost Dog Alert: Missing from near Central Park since yesterday. Brown and white spaniel with a red collar. Please call with any information.; Brown and White Spaniel with Red Collar;LOST DOG ALERT: Brown and white spaniel with a red...
Street Fair this Saturday! Join us from noon to 5 PM on Main St. for food, music, and local vendors. Great fun for the whole family!; Great fun for the whole family;Street Fair this Saturday! Join us from noon to 5...
Reminder: School board meeting tonight at 8 PM in the high school auditorium. Important discussions on budget and new school policies.;Important discussions on budget;Important discussions on budget and new school policies tonight
Book Lover's Club is meeting this Wednesday at the library. The book of the month is 'The Great Gatsby'. Join us for a lively discussion!; Book of the month;The Great Gatsby
Yard waste pickup starts this Friday. Please have your leaves and branches ready at the curb the night before.; Leaves and Branches Ready;Yard Waste Pickup Starts This Friday
A new coffee shop, Bean There, is opening on Elm Street this Monday. Free coffee samples from 9 AM to 11 AM. Come support a local business!; Free Coffee Samples Available;Free Coffee Samples This Monday
Community Alert: Be on the lookout for suspicious activity near the old mill. Recent vandalism has been reported. Report anything unusual.; Vandalism Reported;Community Alert: Be on the lookout for suspicious activity near...
Fitness Fun Day at the Community Center this Wednesday at 5 PM. Join us for free classes in yoga, dance, and more. Get fit and have fun!; Fitness Fun Day this Wednesday;Fitness Fun Day at the Community Center
Seeking volunteers for the local food pantry this Saturday. Help is needed around 2 PM for organizing donations and stocking shelves.; Organizing Donations Needed;Seeking Volunteers This Saturday
Got extra garden tools? The community garden is accepting donations. Drop them off at the tool shed any day this week between 9 AM and 5 PM.; Tool shed open for donations;Got Extra Garden Tools?
